序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1. 这项AI文旅服务容易找到、容易启动，我不需要花费太多时间寻找入口。,2. 第一次使用这项服务时，我很快就学会了基本操作。,3. 这项服务响应及时、运行稳定，很少出现卡顿、掉线或重复操作。,4. 这项服务提供的信息、讲解、识别、推荐或执行结果准确可信。,5. 这项服务与当时的场所、游览流程和我的实际需要相匹配。,6. 这项服务减少了我在游览、参观或住宿中的操作负担，使过程更轻松。,7. 使用过程中，我能自主决定节奏和关注内容，不容易感到困惑或失去控制。,8. 这项服务增强了我对现场空间、展项、故事或目的地的沉浸感。,9. 这项服务使本次体验更有趣，激发了我的好奇心和继续探索的愿望。,10. 这项服务让我与人物、故事、地方或同行者产生了更强的情感联系。,11. 这项服务帮助我理解了具体的历史事件、人物、技艺或文化概念。,12. 这项服务帮助我把零散信息联系到更完整的历史、地域或社会背景中。,13. 体验结束后，我还能回想起至少一个通过这项服务新了解到的具体文化知识点。,14. 这项服务尊重史实和文化语境，能够体现真实的地方特色，没有明显歪曲或过度简化。,15. 体验后，我更愿意继续学习、保护、参与相关文化活动，或向他人介绍这些文化内容。,16. 这项服务提高了我在有限时间内获得有效体验的效率，减少了排队、迷路或无效移动。,17. 这项服务让不同年龄、语言或身体条件的人更容易参与文旅活动。,18. 这项服务增强了我延长停留、参与餐饮/文创/演出等延伸消费或为有价值服务付费的意愿。,19. 如果下次再次到访，我愿意继续使用这项服务，并愿意向亲友推荐它。,20. 总体而言，这项AI文旅服务明显改善了我的体验，并提升了我对该场所文旅服务价值的认可。,21. 如果您觉得这次AI文旅体验不舒适，请具体说明:不舒适发生在什么场景或哪项功能中?主要原因是什么?您出现了哪些身体或心理感受（如眩晕、眼疲劳、头痛、紧张、信息过载、被打扰、缺少真实感、隐私担忧等）?您希望如何改进?【开放题】,tech_empowerment,visitor_experience,cultural_value,economic_social_gain,target_score,raw_q1,raw_q10,raw_q11,raw_q12,raw_q13,raw_q14,raw_q15,raw_q16,raw_q2,raw_q3,raw_q4,raw_q5,raw_q6,raw_q7,raw_q8,raw_q9,raw_q17,raw_q18,raw_q19,raw_q20,valid_items
11,2026/8/6 17:45:09,84秒,微信,,223.104.194.115(山东-济南),2,2,2,1,1,2,2,1,2,3,2,2,2,1,2,1,2,2,2,1,无,35.0,30.0,45.0,30.0,35.0,2,3,2,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,16
12,2026/8/6 17:45:15,114秒,手机提交,直接访问,111.16.88.233(山东-济宁),2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,整体体验较为良好，未产生眩晕、头痛等生理不适。部分AI讲解信息输出偏多，偶尔存在信息过载。希望后续可以增加内容精简模式，可由游客自主调节讲解信息的详略程度。,25.0,20.0,30.0,20.0,23.75,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
13,2026/8/6 17:45:34,26秒,微信,,120.225.46.48(山东-德州),2,2,1,2,2,1,3,1,2,1,2,1,2,2,1,2,2,2,1,2,(空),35.0,35.0,30.0,35.0,33.75,2,1,2,1,2,2,1,2,2,1,2,2,1,3,1,2,2,2,1,2,16
14,2026/8/6 17:45:35,78秒,手机提交,直接访问,60.210.60.68(山东-淄博),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,无,40.0,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16
15,2026/8/6 17:45:43,38秒,微信,,123.182.87.220(河北-承德),2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,(空),35.0,40.0,35.0,25.0,34.5,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,16
16,2026/8/6 17:45:45,27秒,手机提交,直接访问,112.7.116.213(山东-潍坊),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
17,2026/8/6 17:46:03,180秒,手机提交,直接访问,113.121.212.85(山东-德州),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
18,2026/8/6 17:46:03,75秒,手机提交,直接访问,36.143.47.252(河北-保定),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
19,2026/8/6 17:47:08,157秒,手机提交,直接访问,112.224.186.170(山东-淄博),2,3,3,3,3,3,1,3,1,1,1,2,3,2,2,2,2,3,2,2,(空),55.0,50.0,25.0,45.0,44.0,2,1,1,2,3,2,2,2,3,3,3,3,3,1,3,1,2,3,2,2,16
20,2026/8/6 17:47:29,140秒,微信,,112.224.164.1(山东-青岛),2,2,2,2,3,2,3,2,2,2,1,1,2,2,2,1,1,1,2,1,不舒适发生在浏览AI生成景点画面的功能。主要原因为长时间观看屏幕，画面切换较快。身体感受出现眼疲劳。希望改进：增加护眼模式，可手动调节画面切换速度。,40.0,50.0,30.0,35.0,39.5,2,2,1,1,2,2,2,1,2,2,2,3,2,3,2,2,1,1,2,1,16
21,2026/8/6 17:47:34,35秒,微信,,1.50.134.89(宁夏-吴忠),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
22,2026/8/6 17:47:45,170秒,手机提交,直接访问,61.179.109.154(山东-烟台),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
23,2026/8/6 17:47:47,149秒,微信,,223.104.194.194(山东-济南),1,1,2,2,2,1,2,3,1,1,2,1,2,1,2,2,2,2,3,2,出现视觉疲劳，希望增加趣味性,30.0,40.0,25.0,35.0,32.75,1,1,2,1,2,1,2,2,1,2,2,2,1,2,3,1,2,2,3,2,16
24,2026/8/6 17:47:52,55秒,手机提交,直接访问,111.77.177.10(江西-上饶),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Very very good,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
25,2026/8/6 17:48:20,172秒,微信,,171.219.246.46(四川-成都),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,挺好,40.0,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16
26,2026/8/6 17:48:31,28秒,手机提交,直接访问,182.34.110.132(山东-烟台),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,(空),40.0,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16
27,2026/8/6 17:50:14,130秒,微信,,111.14.197.36(山东-济宁),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,很完美,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
28,2026/8/6 17:50:37,450秒,手机提交,直接访问,111.17.84.153(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
29,2026/8/6 17:51:09,40秒,微信,,111.55.154.36(广东-广州),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,无,20.0,20.0,20.0,25.0,21.0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,16
30,2026/8/6 17:53:33,69秒,微信,,112.224.195.36(山东-青岛),4,3,3,2,2,2,2,2,2,1,1,1,2,1,1,2,1,2,2,2,无,60.0,40.0,25.0,30.0,39.25,4,1,1,1,2,1,1,2,3,3,2,2,2,2,2,2,1,2,2,2,16
31,2026/8/6 17:54:47,89秒,微信,,119.181.30.124(山东-济宁),1,2,4,4,3,2,2,2,2,2,2,2,2,3,3,2,3,4,3,2,(空),55.0,45.0,40.0,50.0,47.25,1,2,2,2,2,3,3,2,2,4,4,3,2,2,2,2,3,4,3,2,16
32,2026/8/6 17:55:22,52秒,微信,,112.7.172.111(山东-烟台),2,2,2,3,3,2,2,2,2,2,2,3,2,1,3,3,2,1,1,2,(空),45.0,45.0,45.0,45.0,45.0,2,2,2,3,2,1,3,3,2,2,3,3,2,2,2,2,2,1,1,2,16
33,2026/8/6 17:55:22,95秒,手机提交,直接访问,111.49.36.245(宁夏-银川),3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,无,45.0,40.0,35.0,20.0,36.0,3,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,16
34,2026/8/6 17:56:07,24秒,微信,,111.35.28.60(山东-潍坊),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
35,2026/8/6 17:56:18,25秒,微信,,112.224.225.12(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
36,2026/8/6 17:56:32,34秒,微信,,223.104.196.16(山东-济宁),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
37,2026/8/6 17:56:50,135秒,手机提交,直接访问,223.104.194.69(山东-济南),1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,没有,25.0,20.0,20.0,20.0,21.25,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,16
38,2026/8/6 17:57:03,68秒,微信,,39.144.111.251(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
39,2026/8/6 17:57:03,92秒,微信,,223.104.194.83(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
40,2026/8/6 17:57:03,75秒,微信,,39.144.111.112(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
41,2026/8/6 17:57:34,38秒,微信,,39.144.110.183(山东-临沂),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
42,2026/8/6 17:57:54,27秒,手机提交,直接访问,112.36.11.46(山东-滨州),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
43,2026/8/6 17:58:02,97秒,微信,,112.224.225.12(山东-济南),1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,25.0,20.0,20.0,20.0,21.25,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,16
44,2026/8/6 17:58:04,33秒,手机提交,直接访问,223.104.194.166(山东-济南),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,(空),40.0,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16
45,2026/8/6 17:58:29,64秒,微信,,223.104.196.40(山东-济宁),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
46,2026/8/6 17:58:43,56秒,手机提交,直接访问,111.16.221.147(山东-济宁),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,(空),60.0,60.0,60.0,60.0,60.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,16
47,2026/8/6 17:59:08,99秒,微信,,111.25.190.28(吉林-松原),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
48,2026/8/6 17:59:22,97秒,手机提交,直接访问,120.225.72.142(山东-泰安),1,1,1,1,2,1,2,1,2,1,2,1,2,3,2,2,2,1,1,1,无,20.0,30.0,30.0,45.0,30.5,1,1,2,1,2,3,2,2,1,1,1,2,1,2,1,2,2,1,1,1,16
49,2026/8/6 17:59:37,190秒,微信,,60.209.24.71(山东-青岛),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
50,2026/8/6 17:59:52,173秒,手机提交,直接访问,113.124.206.231(山东-烟台),2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,无,30.0,25.0,20.0,20.0,24.0,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,16
51,2026/8/6 18:00:31,209秒,手机提交,直接访问,120.225.44.110(山东-德州),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
52,2026/8/6 18:01:14,77秒,微信,,39.144.112.30(山东-临沂),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,(空),40.0,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16
53,2026/8/6 18:03:28,140秒,手机提交,直接访问,112.9.115.95(山东-青岛),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
54,2026/8/6 18:03:34,57秒,手机提交,直接访问,112.224.222.123(山东-济南),4,3,3,2,2,1,3,2,2,2,2,3,2,2,2,2,2,2,2,2,无,60.0,40.0,45.0,40.0,46.25,4,2,2,3,2,2,2,2,3,3,2,2,1,3,2,2,2,2,2,2,16
55,2026/8/6 18:03:40,62秒,微信,,39.144.81.105(天津-天津),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,(空),60.0,60.0,60.0,60.0,60.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,16
56,2026/8/6 18:03:45,349秒,手机提交,直接访问,111.35.29.111(山东-潍坊),2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,暂无,35.0,50.0,40.0,40.0,41.75,2,2,2,2,2,2,2,2,1,2,2,3,3,2,2,2,2,2,2,2,16
57,2026/8/6 18:03:58,102秒,微信,,116.130.28.226(天津-天津),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,太棒了 没有任何问题,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
58,2026/8/6 18:03:58,91秒,微信,,39.144.82.137(天津-天津),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,太棒了没有任何问题啊,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
59,2026/8/6 18:04:35,25秒,手机提交,直接访问,126.166.193.63(国外-日本),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
60,2026/8/6 18:04:44,48秒,微信,,223.104.195.88(山东-泰安),1,1,1,1,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,2,无,20.0,50.0,50.0,40.0,40.5,1,3,2,2,2,2,2,2,1,1,1,2,2,3,3,3,2,2,3,2,16
61,2026/8/6 18:04:52,215秒,微信,,112.224.162.28(山东-济南),4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,有时候眼疲劳,50.0,40.0,40.0,40.0,42.5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16
62,2026/8/6 18:06:05,76秒,微信,,112.7.158.162(山东-潍坊),3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,(空),45.0,40.0,45.0,40.0,42.5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,16
63,2026/8/6 18:06:06,85秒,微信,,112.7.116.213(山东-潍坊),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
64,2026/8/6 18:06:13,95秒,微信,,39.144.0.218(山东-菏泽),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
65,2026/8/6 18:06:18,69秒,微信,,126.166.193.63(国外-日本),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
66,2026/8/6 18:08:16,45秒,微信,,112.36.60.238(山东-德州),2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,1,3,(空),40.0,35.0,35.0,30.0,35.25,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,3,16
67,2026/8/6 18:08:20,90秒,手机提交,直接访问,223.104.195.127(山东-泰安),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,无,40.0,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,16
68,2026/8/6 18:09:04,159秒,手机提交,直接访问,120.225.114.178(山东-临沂),2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,(空),40.0,40.0,35.0,40.0,38.75,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16
69,2026/8/6 18:09:10,33秒,微信,,221.1.53.121(山东-淄博),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,光,40.0,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,16
70,2026/8/6 18:09:26,319秒,手机提交,直接访问,223.98.35.198(山东-德州),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
71,2026/8/6 18:09:51,32秒,手机提交,直接访问,36.163.130.118(陕西-咸阳),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
72,2026/8/6 18:10:45,123秒,手机提交,直接访问,112.36.60.238(山东-德州),1,2,1,2,3,1,2,1,3,2,1,1,2,2,3,2,2,2,2,2,(空),30.0,35.0,35.0,45.0,35.75,1,2,1,1,2,2,3,2,2,1,2,3,1,2,1,3,2,2,2,2,16
73,2026/8/6 18:12:57,44秒,微信,,223.104.194.97(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
74,2026/8/6 18:14:25,29秒,手机提交,直接访问,223.104.195.38(山东-泰安),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
75,2026/8/6 18:14:55,19秒,微信,,112.224.181.82(山东-济南),1,1,2,2,3,2,2,3,4,4,4,3,3,3,2,2,2,3,2,4,(空),30.0,50.0,75.0,50.0,51.25,1,4,4,3,3,3,2,2,1,2,2,3,2,2,3,4,2,3,2,4,16
76,2026/8/6 18:15:08,80秒,手机提交,直接访问,39.144.110.183(山东-临沂),1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),25.0,20.0,20.0,20.0,21.25,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,16
77,2026/8/6 18:15:20,221秒,微信,,39.144.109.11(山东-聊城),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
78,2026/8/6 18:15:24,34秒,手机提交,直接访问,111.34.186.253(山东-滨州),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
79,2026/8/6 18:15:50,46秒,微信,,27.222.161.179(山东-菏泽),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
80,2026/8/6 18:17:12,27秒,微信,,119.181.32.45(山东-济宁),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
