review_text,image_path,audio_path,tech_empowerment,visitor_experience,cultural_value,economic_social_gain,q1,q10,q11,q12,q13,q14,q15,q16,q2,q3,q4,q5,q6,q7,q8,q9,q17,q18,q19,q20,提交答卷时间,所用时间,来源,来源详情,17. 这项服务让不同年龄、语言或身体条件的人更容易参与文旅活动。,19. 如果下次再次到访，我愿意继续使用这项服务，并愿意向亲友推荐它。,21. 如果您觉得这次AI文旅体验不舒适，请具体说明:不舒适发生在什么场景或哪项功能中?主要原因是什么?您出现了哪些身体或心理感受（如眩晕、眼疲劳、头痛、紧张、信息过载、被打扰、缺少真实感、隐私担忧等）?您希望如何改进?【开放题】,valid_items,target_score
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:45:45,27秒,手机提交,直接访问,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:46:03,180秒,手机提交,直接访问,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:46:03,75秒,手机提交,直接访问,1,1,无,16,20.0
(空),,,55.0,50.0,25.0,45.0,2,1,1,2,3,2,2,2,3,3,3,3,3,1,3,1,2,3,2,2,2026/8/6 17:47:08,157秒,手机提交,直接访问,2,2,(空),16,44.0
不舒适发生在浏览AI生成景点画面的功能。主要原因为长时间观看屏幕，画面切换较快。身体感受出现眼疲劳。希望改进：增加护眼模式，可手动调节画面切换速度。,,,40.0,50.0,30.0,35.0,2,2,1,1,2,2,2,1,2,2,2,3,2,3,2,2,1,1,2,1,2026/8/6 17:47:29,140秒,微信,,1,2,不舒适发生在浏览AI生成景点画面的功能。主要原因为长时间观看屏幕，画面切换较快。身体感受出现眼疲劳。希望改进：增加护眼模式，可手动调节画面切换速度。,16,39.5
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:47:34,35秒,微信,,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:47:45,170秒,手机提交,直接访问,1,1,无,16,20.0
出现视觉疲劳，希望增加趣味性,,,30.0,40.0,25.0,35.0,1,1,2,1,2,1,2,2,1,2,2,2,1,2,3,1,2,2,3,2,2026/8/6 17:47:47,149秒,微信,,2,3,出现视觉疲劳，希望增加趣味性,16,32.75
Very very good,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:47:52,55秒,手机提交,直接访问,1,1,Very very good,16,20.0
挺好,,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 17:48:20,172秒,微信,,2,2,挺好,16,40.0
(空),,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 17:48:31,28秒,手机提交,直接访问,2,2,(空),16,40.0
很完美,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:50:14,130秒,微信,,1,1,很完美,16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:50:37,450秒,手机提交,直接访问,1,1,(空),16,20.0
无,,,20.0,20.0,20.0,25.0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2026/8/6 17:51:09,40秒,微信,,1,1,无,16,21.0
无,,,60.0,40.0,25.0,30.0,4,1,1,1,2,1,1,2,3,3,2,2,2,2,2,2,1,2,2,2,2026/8/6 17:53:33,69秒,微信,,1,2,无,16,39.25
(空),,,55.0,45.0,40.0,50.0,1,2,2,2,2,3,3,2,2,4,4,3,2,2,2,2,3,4,3,2,2026/8/6 17:54:47,89秒,微信,,3,3,(空),16,47.25
(空),,,45.0,45.0,45.0,45.0,2,2,2,3,2,1,3,3,2,2,3,3,2,2,2,2,2,1,1,2,2026/8/6 17:55:22,52秒,微信,,2,1,(空),16,45.0
无,,,45.0,40.0,35.0,20.0,3,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2026/8/6 17:55:22,95秒,手机提交,直接访问,1,1,无,16,36.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:56:07,24秒,微信,,1,1,(空),16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:56:18,25秒,微信,,1,1,(空),16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:56:32,34秒,微信,,1,1,(空),16,20.0
没有,,,25.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:56:50,135秒,手机提交,直接访问,1,1,没有,16,21.25
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:57:03,68秒,微信,,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:57:03,92秒,微信,,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:57:03,75秒,微信,,1,1,无,16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:57:34,38秒,微信,,1,1,(空),16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:57:54,27秒,手机提交,直接访问,1,1,无,16,20.0
无,,,25.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:58:02,97秒,微信,,1,1,无,16,21.25
(空),,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 17:58:04,33秒,手机提交,直接访问,2,2,(空),16,40.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:58:29,64秒,微信,,1,1,(空),16,20.0
(空),,,60.0,60.0,60.0,60.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2026/8/6 17:58:43,56秒,手机提交,直接访问,3,3,(空),16,60.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:59:08,99秒,微信,,1,1,无,16,20.0
无,,,20.0,30.0,30.0,45.0,1,1,2,1,2,3,2,2,1,1,1,2,1,2,1,2,2,1,1,1,2026/8/6 17:59:22,97秒,手机提交,直接访问,2,1,无,16,30.5
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:59:37,190秒,微信,,1,1,无,16,20.0
无,,,30.0,25.0,20.0,20.0,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2026/8/6 17:59:52,173秒,手机提交,直接访问,1,1,无,16,24.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:00:31,209秒,手机提交,直接访问,1,1,无,16,20.0
(空),,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 18:01:14,77秒,微信,,2,2,(空),16,40.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:03:28,140秒,手机提交,直接访问,1,1,无,16,20.0
无,,,60.0,40.0,45.0,40.0,4,2,2,3,2,2,2,2,3,3,2,2,1,3,2,2,2,2,2,2,2026/8/6 18:03:34,57秒,手机提交,直接访问,2,2,无,16,46.25
(空),,,60.0,60.0,60.0,60.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2026/8/6 18:03:40,62秒,微信,,3,3,(空),16,60.0
暂无,,,35.0,50.0,40.0,40.0,2,2,2,2,2,2,2,2,1,2,2,3,3,2,2,2,2,2,2,2,2026/8/6 18:03:45,349秒,手机提交,直接访问,2,2,暂无,16,41.75
太棒了 没有任何问题,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:03:58,102秒,微信,,1,1,太棒了 没有任何问题,16,20.0
太棒了没有任何问题啊,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:03:58,91秒,微信,,1,1,太棒了没有任何问题啊,16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:04:35,25秒,手机提交,直接访问,1,1,(空),16,20.0
无,,,20.0,50.0,50.0,40.0,1,3,2,2,2,2,2,2,1,1,1,2,2,3,3,3,2,2,3,2,2026/8/6 18:04:44,48秒,微信,,2,3,无,16,40.5
有时候眼疲劳,,,50.0,40.0,40.0,40.0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 18:04:52,215秒,微信,,2,2,有时候眼疲劳,16,42.5
(空),,,45.0,40.0,45.0,40.0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2026/8/6 18:06:05,76秒,微信,,2,2,(空),16,42.5
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:06:06,85秒,微信,,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:06:13,95秒,微信,,1,1,无,16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:06:18,69秒,微信,,1,1,(空),16,20.0
(空),,,40.0,35.0,35.0,30.0,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,3,2026/8/6 18:08:16,45秒,微信,,2,1,(空),16,35.25
无,,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2026/8/6 18:08:20,90秒,手机提交,直接访问,2,3,无,16,40.0
(空),,,40.0,40.0,35.0,40.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 18:09:04,159秒,手机提交,直接访问,2,2,(空),16,38.75
光,,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,2026/8/6 18:09:10,33秒,微信,,2,1,光,16,40.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:09:26,319秒,手机提交,直接访问,1,1,(空),16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:09:51,32秒,手机提交,直接访问,1,1,无,16,20.0
(空),,,30.0,35.0,35.0,45.0,1,2,1,1,2,2,3,2,2,1,2,3,1,2,1,3,2,2,2,2,2026/8/6 18:10:45,123秒,手机提交,直接访问,2,2,(空),16,35.75
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:12:57,44秒,微信,,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:14:25,29秒,手机提交,直接访问,1,1,无,16,20.0
(空),,,30.0,50.0,75.0,50.0,1,4,4,3,3,3,2,2,1,2,2,3,2,2,3,4,2,3,2,4,2026/8/6 18:14:55,19秒,微信,,2,2,(空),16,51.25
(空),,,25.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2026/8/6 18:15:08,80秒,手机提交,直接访问,1,1,(空),16,21.25
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:15:20,221秒,微信,,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:15:24,34秒,手机提交,直接访问,1,1,无,16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:15:50,46秒,微信,,1,1,(空),16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:17:12,27秒,微信,,1,1,(空),16,20.0
(空),,,40.0,40.0,30.0,30.0,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 18:17:55,66秒,手机提交,直接访问,2,2,(空),16,35.5
(空),,,40.0,40.0,40.0,35.0,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2026/8/6 18:18:19,784秒,手机提交,直接访问,1,2,(空),16,39.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:18:48,25秒,手机提交,直接访问,1,1,(空),16,20.0
暂无,,,35.0,45.0,40.0,40.0,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,3,2,3,2026/8/6 18:18:58,135秒,手机提交,直接访问,2,2,暂无,16,40.25
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:19:49,26秒,微信,,1,1,(空),16,20.0
(空),,,40.0,40.0,45.0,40.0,2,3,2,3,1,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2026/8/6 18:21:16,84秒,手机提交,直接访问,2,2,(空),16,41.25
(空),,,60.0,60.0,50.0,40.0,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2026/8/6 18:22:13,39秒,微信,,2,2,(空),16,53.5
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:22:21,53秒,微信,,1,1,(空),16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:24:04,148秒,微信,,1,1,(空),16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:25:42,243秒,微信,,1,1,(空),16,20.0
(空),,,20.0,25.0,20.0,35.0,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2026/8/6 18:26:25,37秒,微信,,1,1,(空),16,24.5
无,,,45.0,40.0,65.0,60.0,2,3,4,2,2,4,4,2,2,3,2,2,1,3,2,4,2,3,2,3,2026/8/6 18:26:44,35秒,微信,,2,2,无,16,51.5
无,,,30.0,50.0,55.0,45.0,1,3,3,3,1,2,3,3,2,1,2,2,2,3,3,2,3,2,2,1,2026/8/6 18:27:16,22秒,微信,,3,2,无,16,45.25
(空),,,50.0,50.0,40.0,45.0,2,2,2,2,2,2,2,3,2,3,3,3,2,3,2,2,2,4,3,3,2026/8/6 18:28:03,138秒,微信,,2,3,(空),16,46.5
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2026/8/6 18:28:28,41秒,微信,,1,2,无,16,20.0
无,,,50.0,45.0,60.0,35.0,1,4,2,2,1,1,2,3,3,4,2,2,2,3,2,4,2,2,3,2,2026/8/6 18:28:32,42秒,微信,,2,3,无,16,48.0
无,,,25.0,45.0,35.0,25.0,1,1,1,2,2,1,1,1,1,1,2,3,2,2,2,3,1,3,2,2,2026/8/6 18:28:40,33秒,微信,,1,2,无,16,33.5
(空),,,30.0,65.0,60.0,55.0,1,3,3,3,3,2,2,4,1,2,2,3,3,3,4,3,2,3,2,3,2026/8/6 18:29:16,29秒,微信,,2,2,(空),16,53.0
无,,,20.0,20.0,20.0,35.0,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:29:17,23秒,微信,,1,1,无,16,23.0
(空),,,20.0,30.0,25.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2026/8/6 18:30:12,38秒,微信,,1,1,(空),16,24.25
无,,,45.0,40.0,40.0,40.0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2026/8/6 18:30:55,267秒,手机提交,直接访问,2,3,无,16,41.25
(空),,,30.0,20.0,35.0,20.0,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2026/8/6 18:31:10,154秒,微信,,1,1,(空),16,26.25
无,,,20.0,20.0,35.0,25.0,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:31:13,28秒,微信,,1,1,无,16,24.75
(空),,,40.0,30.0,20.0,20.0,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2026/8/6 18:32:58,272秒,微信,,1,1,(空),16,28.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:35:36,214秒,微信,,1,1,(空),16,20.0
无,,,60.0,60.0,50.0,45.0,3,2,3,3,2,2,3,2,3,3,3,3,3,3,3,2,2,3,2,3,2026/8/6 18:36:04,209秒,微信,,2,2,无,16,54.5
无,,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 18:36:53,186秒,微信,,2,2,无,16,40.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:36:57,155秒,微信,,1,1,无,16,20.0
(空),,,40.0,30.0,40.0,35.0,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2026/8/6 18:38:05,198秒,微信,,2,2,(空),16,36.0
无,,,60.0,60.0,60.0,60.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2026/8/6 18:38:16,45秒,微信,,3,3,无,16,60.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:39:03,118秒,微信,,1,1,(空),16,20.0
无,,,60.0,60.0,60.0,60.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2026/8/6 18:39:05,150秒,微信,,3,3,无,16,60.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:40:01,32秒,手机提交,直接访问,1,1,(空),16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:40:21,22秒,微信,,1,1,无,16,20.0
(空),,,40.0,40.0,40.0,45.0,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 18:40:54,33秒,微信,,2,2,(空),16,41.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:41:06,98秒,微信,,1,1,无,16,20.0
可能对老人不太友好,,,25.0,40.0,40.0,40.0,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2026/8/6 18:41:16,84秒,微信,,2,2,可能对老人不太友好,16,36.25
(空),,,50.0,45.0,45.0,40.0,2,1,3,2,2,1,3,2,3,3,2,2,2,2,3,3,2,2,2,2,2026/8/6 18:41:53,215秒,微信,,2,2,(空),16,45.25
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:41:56,26秒,微信,,1,1,(空),16,20.0
(空),,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 18:42:18,31秒,微信,,2,2,(空),16,40.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:42:39,306秒,微信,,1,1,无,16,20.0
没有,,,35.0,20.0,20.0,20.0,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2026/8/6 18:42:44,71秒,微信,,1,1,没有,16,23.75
实际上还是要加强引导，老人和小孩不能自由使用,,,50.0,40.0,50.0,45.0,2,2,2,3,2,2,4,1,3,4,1,2,2,2,2,3,2,1,1,2,2026/8/6 18:43:16,258秒,微信,,2,1,实际上还是要加强引导，老人和小孩不能自由使用,16,46.0
(空),,,55.0,50.0,40.0,45.0,2,2,2,2,2,2,3,2,3,3,3,2,2,3,3,2,2,3,2,2,2026/8/6 18:43:23,703秒,微信,,2,2,(空),16,47.75
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:43:35,46秒,微信,,1,1,无,16,20.0
(空),,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 18:45:08,216秒,微信,,2,2,(空),16,40.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:45:20,100秒,微信,,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:45:32,23秒,微信,,1,1,无,16,20.0
好,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:50:12,85秒,微信,,1,1,好,16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:51:07,23秒,微信,,1,1,(空),16,20.0
(空),,,45.0,55.0,60.0,60.0,2,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,2026/8/6 18:51:48,65秒,微信,,3,3,(空),16,54.75
无,,,35.0,55.0,50.0,30.0,1,3,3,3,2,1,2,1,1,3,2,3,3,3,2,1,2,1,1,1,2026/8/6 18:51:55,206秒,手机提交,直接访问,2,1,无,16,43.75
(空),,,40.0,40.0,45.0,40.0,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2026/8/6 18:52:27,57秒,微信,,3,2,(空),16,41.25
